Research_paper,Question,Chunking Size,answer_relevancy,faithfulness,answer_correctness
1,1,900,0.9244291681203999,1.0,0.7381284697705635
1,1,1200,0.9222935796713658,0.8095238095238095,0.27545832972102324
1,1,1500,0.9496779314546462,0.9411764705882353,0.3317721614154197
1,1,1800,0.9033126553599256,0.9473684210526315,0.5139270073840806
1,1,2100,0.9301156862608335,0.6842105263157895,0.2811204754020764
1,2,900,0.8510984141802158,0.9565217391304348,0.514785668899964
1,2,1200,0.9293321707432316,0.85,0.5615682777550595
1,2,1500,0.8473204563636481,1.0,0.8344933598932676
1,2,1800,0.8474636629461546,1.0,0.6427464311124169
1,2,2100,0.8573426538846207,0.9523809523809523,0.4931298172269992
1,3,900,0.9091987545922576,0.7692307692307693,0.20144882366753578
1,3,1200,0.8951413742789843,1.0,0.41241100821377374
1,3,1500,0.8755252496955054,1.0,0.42828903518684047
1,3,1800,0.8719875033971347,0.85,0.19855522303791304
1,3,2100,0.8601303226896138,1.0,0.19854790150388085
