Research_paper,Question,Chunking Overlap,answer_relevancy,faithfulness,answer_correctness
2,1,90,0.8685852172677678,0.8947368421052632,0.20647119920184065
2,1,120,0.9039467286394627,0.8421052631578947,0.21479316200212434
2,1,150,0.8577625513623967,0.8636363636363636,0.20904106150193721
2,1,180,0.8181933856491115,0.6956521739130435,0.2069223835146195
2,1,210,0.8710658925770884,0.8,0.21513989121572744
2,2,90,0.9865474699235526,0.56,0.44554400920946485
2,2,120,0.9865474699235526,0.5789473684210527,0.45391435932692603
2,2,150,0.9722350001938497,0.6521739130434783,0.2770485567709786
2,2,180,0.9865474699235526,0.7333333333333333,0.35478145945826134
2,2,210,0.9722217008087353,0.5,0.42327911938522406
2,3,90,0.9866799306351942,0.5238095238095238,0.2814266712491776
2,3,120,0.9821898354846013,0.45,0.5777477459459261
2,3,150,0.9870026458870831,0.7692307692307693,0.3958311304649136
2,3,180,0.9856240055790162,1.0,0.76017661359816
2,3,210,0.9822000207400983,0.42105263157894735,0.38867079114121705
